日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,16.48,16.66,16.66,16.18,1169259,1918887056.0,2.91,1.09,0.18,0.6
2022-01-05,16.58,17.15,17.22,16.55,1961998,3344124592.0,4.02,2.94,0.49,1.01
2022-01-06,17.11,17.12,17.27,17.0,1107885,1896535840.0,1.57,-0.17,-0.03,0.57
2022-01-07,17.1,17.2,17.28,17.06,1126631,1937710960.0,1.29,0.47,0.08,0.58
2022-01-10,17.29,17.19,17.42,17.03,909774,1563414576.0,2.27,-0.06,-0.01,0.47
2022-01-11,17.26,17.41,17.54,17.14,1581999,2752485392.0,2.33,1.28,0.22,0.82
2022-01-12,17.41,17.0,17.45,16.9,1502164,2561266416.0,3.16,-2.35,-0.41,0.77
2022-01-13,16.91,16.98,17.24,16.82,909423,1550319152.0,2.47,-0.12,-0.02,0.47
2022-01-14,17.0,16.33,17.02,16.3,2103095,3459950800.0,4.24,-3.83,-0.65,1.08
2022-01-17,16.35,16.22,16.48,16.12,1143689,1855633792.0,2.2,-0.67,-0.11,0.59
2022-01-18,16.25,16.52,16.54,16.16,1152974,1891094608.0,2.34,1.85,0.3,0.59
2022-01-19,16.54,16.5,16.69,16.36,988392,1630973584.0,2.0,-0.12,-0.02,0.51
2022-01-20,16.47,17.33,17.46,16.42,3031194,5195805440.0,6.3,5.03,0.83,1.56
2022-01-21,17.45,17.35,17.56,17.21,1481683,2575115120.0,2.02,0.12,0.02,0.76
2022-01-24,17.34,17.2,17.38,16.98,874771,1501390336.0,2.31,-0.86,-0.15,0.45
2022-01-25,17.08,16.85,17.08,16.81,1093284,1851999024.0,1.57,-2.03,-0.35,0.56
2022-01-26,16.95,16.65,17.1,16.54,984975,1646384992.0,3.32,-1.19,-0.2,0.51
2022-01-27,16.5,16.3,16.54,16.25,1024643,1677261296.0,1.74,-2.1,-0.35,0.53
2022-01-28,16.39,15.83,16.45,15.82,1675564,2695470336.0,3.87,-2.88,-0.47,0.86
2022-02-07,16.02,16.39,16.41,15.89,1515476,2451798480.0,3.28,3.54,0.56,0.78
2022-02-08,16.3,16.83,16.97,16.26,1754695,2950309008.0,4.33,2.68,0.44,0.9
2022-02-09,16.92,16.86,17.0,16.71,1051162,1774253632.0,1.72,0.18,0.03,0.54
2022-02-10,16.77,16.99,17.03,16.67,784557,1326848944.0,2.14,0.77,0.13,0.4
2022-02-11,17.03,17.1,17.34,17.03,1078139,1852167488.0,1.82,0.65,0.11,0.56
2022-02-14,17.1,16.58,17.15,16.51,1150659,1917613424.0,3.74,-3.04,-0.52,0.59
2022-02-15,16.5,16.28,16.67,16.1,1208264,1968985376.0,3.44,-1.81,-0.3,0.62
2022-02-16,16.35,16.41,16.53,16.21,782400,1282234144.0,1.97,0.8,0.13,0.4
2022-02-17,16.39,16.42,16.55,16.32,794502,1306514352.0,1.4,0.06,0.01,0.41
2022-02-18,16.32,16.77,16.77,16.31,802499,1330233360.0,2.8,2.13,0.35,0.41
